Treatment,treat,Group,Aperture
exp1,1mM,E,4.265
exp1,1mM,E,4.129
exp1,1mM,E,3.905
exp1,1mM,E,5.179
exp1,1mM,E,3.49
exp1,1mM,E,5.493
exp1,1mM,E,3.815
exp1,1mM,E,3.331
exp1,1mM,E,6.517
exp1,1mM,E,3.468
exp1,1mM,E,4.14
exp1,1mM,E,2.535
exp1,1mM,E,3.016
exp1,1mM,E,2.842
exp1,1mM,E,1.829
exp1,1mM,E,2.986
exp1,1mM,E,1.851
exp1,1mM,E,2.317
exp1,1mM,E,2.402
exp1,1mM,E,1.472
exp1,1mM,E,4.22
exp1,1mM,E,2.889
exp1,1mM,E,4.111
exp1,1mM,E,3.056
exp1,1mM,E,3.662
exp1,1mM,E,2.666
exp1,1mM,E,2.003
exp1,1mM,E,5.438
exp1,1mM,E,4.282
exp1,1mM,E,2.998
exp1,1mM,E,2.354
exp1,1mM,E,3.813
exp1,1mM,E,3.449
exp1,1mM,E,2.896
exp1,1mM,E,2.747
exp1,1mM,E,2.261
exp1,1mM,E,3.438
exp1,1mM,E,2.685
exp1,1mM,E,5.513
exp1,1mM,E,3.885
exp1,1mM,E,1.138
exp1,1mM,E,3.434
exp1,1mM,E,2.416
exp1,1mM,E,2.194
exp1,1mM,E,2.789
exp1,1mM,E,5.925
exp1,1mM,E,4.098
exp1,1mM,E,3.412
exp1,1mM,E,5.371
exp1,1mM,E,1.986
exp1,1mM,E,2.893
exp1,1mM,E,4.008
exp1,1mM,E,1.84
exp1,1mM,E,2.283
exp1,1mM,E,2.37
exp1,1mM,E,1.519
exp1,1mM,E,5.279
exp1,1mM,E,2.17
exp1,1mM,E,2.309
exp1,1mM,E,1.601
exp1,1mM,E,1.199
exp1,1mM,E,2.327
exp1,1mM,E,1.385
exp1,1mM,E,2.426
